"library_id","molecule_h5","hto.tag","chrom.batch.tag","seq.batch.tag","lane.tag","markers.tag"
"AqEh01_Hu_1_2D_Gex","/path/to/user/sequencing_data/05-25-2023/count/AqEh01/AqEh01_Hu_1_2D_Gex/outs/molecule_info.h5",NA,"AqEh01","1","AqEh01_Hu_1_2D_Gex;L001;AqEh01",NA
"AqEh01_Hu_2_2D_Gex","/path/to/user/sequencing_data/05-25-2023/count/AqEh01/AqEh01_Hu_2_2D_Gex/outs/molecule_info.h5",NA,"AqEh01","1","AqEh01_Hu_2_2D_Gex;L002;AqEh01",NA
"AqEh02_Hu_TCL3_2D_Gex","/path/to/user/sequencing_data/05-26-2023/count/AqEh02/AqEh02_Hu_TCL3_2D_Gex/outs/molecule_info.h5",NA,"AqEh02","2","AqEh02_Hu_TCL3_2D_Gex;L003;AqEh02","/path/to/user/HIPC/deconvolution/HTO_based/05-26-2023/AqEh02/AqEh02_Hu_TCL3_2D_CITE/AqEh02_Hu_TCL3_2D_CITE_07-25-2023_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEh02_Hu_TCL4_2D_Gex","/path/to/user/sequencing_data/05-26-2023/count/AqEh02/AqEh02_Hu_TCL4_2D_Gex/outs/molecule_info.h5",NA,"AqEh02","2","AqEh02_Hu_TCL4_2D_Gex;L004;AqEh02","/path/to/user/HIPC/deconvolution/HTO_based/05-26-2023/AqEh02/AqEh02_Hu_TCL4_2D_CITE/AqEh02_Hu_TCL4_2D_CITE_07-25-2023_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEh03_Hu_TCL5_5D_Gex","/path/to/user/sequencing_data/05-25-2023/count/AqEh03/AqEh03_Hu_TCL5_5D_Gex/outs/molecule_info.h5",NA,"AqEh03","1","AqEh03_Hu_TCL5_5D_Gex;L005;AqEh03","/path/to/user/HIPC/deconvolution/HTO_based/05-25-2023/AqEh03/AqEh03_Hu_TCL5_5D_CITE/AqEh03_Hu_TCL5_5D_CITE_07-25-2023_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEh03_Hu_TCL6_5D_Gex","/path/to/user/sequencing_data/05-25-2023/count/AqEh03_v2/AqEh03_Hu_TCL6_5D_Gex/outs/molecule_info.h5","/path/to/user/HIPC/deconvolution/HTO_based/05-25-2023/AqEh03/AqEh03_Hu_TCL6_5D_CITE/AqEh03_Hu_TCL6_5D_CITE_07-25-2023_DonorDeconv/general_reports/ClassificationPerCell.csv","AqEh03","1","AqEh03_Hu_TCL6_5D_Gex;L006;AqEh03","/path/to/user/HIPC/deconvolution/HTO_based/05-25-2023/AqEh03/AqEh03_Hu_TCL6_5D_CITE/AqEh03_Hu_TCL6_5D_CITE_07-25-2023_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEh04_Hu_TL7_2D_Gex","/path/to/user/sequencing_data/05-26-2023/count/AqEh04/AqEh04_Hu_TL7_2D_Gex/outs/molecule_info.h5",NA,"AqEh04","2","AqEh04_Hu_TL7_2D_Gex;L007;AqEh04","/path/to/user/HIPC/deconvolution/HTO_based/05-26-2023/AqEh04/AqEh04_Hu_TL7_2D_CITE/AqEh04_Hu_TL7_2D_CITE_07-25-2023_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEh04_Hu_TL8_2D_Gex","/path/to/user/sequencing_data/05-26-2023/count/AqEh04/AqEh04_Hu_TL8_2D_Gex/outs/molecule_info.h5",NA,"AqEh04","2","AqEh04_Hu_TL8_2D_Gex;L008;AqEh04","/path/to/user/HIPC/deconvolution/HTO_based/05-26-2023/AqEh04/AqEh04_Hu_TL8_2D_CITE/AqEh04_Hu_TL8_2D_CITE_07-25-2023_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEh05_Hu_TCL10_2D_Gex","/path/to/user/sequencing_data/11-10-2023/count/AqEh_HIPC05/AqEh05_Hu_TCL10_2D_Gex/outs/molecule_info.h5",NA,"AqEh_HIPC05","7","AqEh05_Hu_TCL10_2D_Gex;L010;AqEh05","/path/to/user/HIPC/deconvolution/HTO_based/06-27-2023/AqEh_HIPC05/AqEh05_Hu_TCL10_2D_CITE/AqEh05_Hu_TCL10_2D_CITE_07-25-2023_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEh05_Hu_TCL9_2D_Gex","/path/to/user/sequencing_data/05-26-2023/count/AqEh05/AqEh05_Hu_TCL9_2D_Gex/outs/molecule_info.h5",NA,"AqEh05","2","AqEh05_Hu_TCL9_2D_Gex;L009;AqEh05","/path/to/user/HIPC/deconvolution/HTO_based/05-26-2023/AqEh05/AqEh05_Hu_TCL9_2D_CITE/AqEh05_Hu_TCL9_2D_CITE_07-25-2023_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEh06_Hu_TCL11_2D_Gex","/path/to/user/sequencing_data/06-27-2023/count/AqEh_HIPC06_v2/AqEh06_Hu_TCL11_2D_Gex/outs/molecule_info.h5","/path/to/user/HIPC/deconvolution/HTO_based/06-28-2023/AqEh_HIPC06/AqEh06_Hu_TCL11_2D_CITE/AqEh06_Hu_TCL11_2D_CITE_07-25-2023_DonorDeconv/general_reports/ClassificationPerCell.csv","AqEh_HIPC06","3","AqEh06_Hu_TCL11_2D_Gex;L011;AqEh06","/path/to/user/HIPC/deconvolution/HTO_based/06-28-2023/AqEh_HIPC06/AqEh06_Hu_TCL11_2D_CITE/AqEh06_Hu_TCL11_2D_CITE_07-25-2023_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEh06_Hu_TCL12_2D_Gex","/path/to/user/sequencing_data/06-27-2023/count/AqEh_HIPC06/AqEh06_Hu_TCL12_2D_Gex/outs/molecule_info.h5",NA,"AqEh_HIPC06","3","AqEh06_Hu_TCL12_2D_Gex;L012;AqEh06","/path/to/user/HIPC/deconvolution/HTO_based/06-28-2023/AqEh_HIPC06/AqEh06_Hu_TCL12_2D_CITE/AqEh06_Hu_TCL12_2D_CITE_07-25-2023_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEh06_Hu_TCL13_2D_Gex","/path/to/user/sequencing_data/06-28-2023/count/AqEh_HIPC06/AqEh06_Hu_TCL13_2D_Gex/outs/molecule_info.h5",NA,"AqEh_HIPC06","4","AqEh06_Hu_TCL13_2D_Gex;L013;AqEh06","/path/to/user/HIPC/deconvolution/HTO_based/06-28-2023/AqEh_HIPC06/AqEh06_Hu_TCL13_2D_CITE/AqEh06_Hu_TCL13_2D_CITE_07-25-2023_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEh06_Hu_TCL14_2D_Gex","/path/to/user/sequencing_data/06-28-2023/count/AqEh_HIPC06/AqEh06_Hu_TCL14_2D_Gex/outs/molecule_info.h5",NA,"AqEh_HIPC06","4","AqEh06_Hu_TCL14_2D_Gex;L014;AqEh06","/path/to/user/HIPC/deconvolution/HTO_based/06-28-2023/AqEh_HIPC06/AqEh06_Hu_TCL14_2D_CITE/AqEh06_Hu_TCL14_2D_CITE_07-25-2023_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEh07_Hu_TL15_4D_Gex","/path/to/user/sequencing_data/06-28-2023/count/AqEh_HIPC07/AqEh07_Hu_TL15_4D_Gex/outs/molecule_info.h5",NA,"AqEh_HIPC07","4","AqEh07_Hu_TL15_4D_Gex;L015;AqEh07","/path/to/user/HIPC/deconvolution/HTO_based/06-28-2023/AqEh_HIPC07/AqEh07_Hu_TL15_4D_CITE/AqEh07_Hu_TL15_4D_CITE_07-25-2023_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEh07_Hu_TL16_4D_Gex","/path/to/user/sequencing_data/06-28-2023/count/AqEh_HIPC07/AqEh07_Hu_TL16_4D_Gex/outs/molecule_info.h5",NA,"AqEh_HIPC07","4","AqEh07_Hu_TL16_4D_Gex;L016;AqEh07","/path/to/user/HIPC/deconvolution/HTO_based/06-28-2023/AqEh_HIPC07/AqEh07_Hu_TL16_4D_CITE/AqEh07_Hu_TL16_4D_CITE_07-25-2023_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEh07_Hu_TL17_4D_Gex","/path/to/user/sequencing_data/06-28-2023/count/AqEh_HIPC07/AqEh07_Hu_TL17_4D_Gex/outs/molecule_info.h5",NA,"AqEh_HIPC07","4","AqEh07_Hu_TL17_4D_Gex;L017;AqEh07","/path/to/user/HIPC/deconvolution/HTO_based/06-28-2023/AqEh_HIPC07/AqEh07_Hu_TL17_4D_CITE/AqEh07_Hu_TL17_4D_CITE_07-25-2023_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEh07_Hu_TL18_4D_Gex","/path/to/user/sequencing_data/06-28-2023/count/AqEh_HIPC07_v2/AqEh07_Hu_TL18_4D_Gex/outs/molecule_info.h5","/path/to/user/HIPC/deconvolution/HTO_based/06-28-2023/AqEh_HIPC07/AqEh07_Hu_TL18_4D_CITE/AqEh07_Hu_TL18_4D_CITE_07-25-2023_DonorDeconv/general_reports/ClassificationPerCell.csv","AqEh_HIPC07","4","AqEh07_Hu_TL18_4D_Gex;L018;AqEh07",NA
"AqEh09_Hu_TL19_4D_Gex","/path/to/user/sequencing_data/10-20-2023/count/AqEh_HIPC09/AqEh09_Hu_TL19_4D_Gex/outs/molecule_info.h5",NA,"AqEh_HIPC09","5","AqEh09_Hu_TL19_4D_Gex;L019;AqEh09","/path/to/user/HIPC/deconvolution/HTO_based/10-20-2023/AqEh_HIPC09/AqEh09_Hu_TL19_4D_CITE/AqEh09_Hu_TL19_4D_CITE_10-24-2023_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEh09_Hu_TL20_4D_Gex","/path/to/user/sequencing_data/10-20-2023/count/AqEh_HIPC09/AqEh09_Hu_TL20_4D_Gex/outs/molecule_info.h5",NA,"AqEh_HIPC09","5","AqEh09_Hu_TL20_4D_Gex;L020;AqEh09","/path/to/user/HIPC/deconvolution/HTO_based/10-20-2023/AqEh_HIPC09/AqEh09_Hu_TL20_4D_CITE/AqEh09_Hu_TL20_4D_CITE_10-24-2023_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEh09_Hu_TL21_4D_Gex","/path/to/user/sequencing_data/11-10-2023/count/AqEh_HIPC09/AqEh09_Hu_TL21_4D_Gex/outs/molecule_info.h5",NA,"AqEh_HIPC09","7","AqEh09_Hu_TL21_4D_Gex;L021;AqEh09","/path/to/user/HIPC/deconvolution/HTO_based/10-20-2023/AqEh_HIPC09/AqEh09_Hu_TL21_4D_CITE/AqEh09_Hu_TL21_4D_CITE_10-24-2023_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEh09_Hu_TL22_4D_Gex","/path/to/user/sequencing_data/10-20-2023/count/AqEh_HIPC09/AqEh09_Hu_TL22_4D_Gex/outs/molecule_info.h5",NA,"AqEh_HIPC09","5","AqEh09_Hu_TL22_4D_Gex;L022;AqEh09","/path/to/user/HIPC/deconvolution/HTO_based/10-20-2023/AqEh_HIPC09/AqEh09_Hu_TL22_4D_CITE/AqEh09_Hu_TL22_4D_CITE_10-24-2023_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEh10_Hu_TL23_6D_Gex","/path/to/user/sequencing_data/10-28-2023/count/AqEh_HIPC10/AqEh10_Hu_TL23_6D_Gex/outs/molecule_info.h5",NA,"AqEh_HIPC10","6","AqEh10_Hu_TL23_6D_Gex;L023;AqEh10","/path/to/user/HIPC/deconvolution/HTO_based/10-28-2023/AqEh_HIPC10/AqEh10_Hu_TL23_6D_CITE/AqEh10_Hu_TL23_6D_CITE_11-18-2023_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEh10_Hu_TL24_6D_Gex","/path/to/user/sequencing_data/11-10-2023/count/AqEh_HIPC10/AqEh10_Hu_TL24_6D_Gex/outs/molecule_info.h5",NA,"AqEh_HIPC10","7","AqEh10_Hu_TL24_6D_Gex;L024;AqEh10","/path/to/user/HIPC/deconvolution/HTO_based/10-28-2023/AqEh_HIPC10/AqEh10_Hu_TL24_6D_CITE/AqEh10_Hu_TL24_6D_CITE_11-18-2023_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEh10_Hu_TL25_6D_Gex","/path/to/user/sequencing_data/10-28-2023/count/AqEh_HIPC10/AqEh10_Hu_TL25_6D_Gex/outs/molecule_info.h5",NA,"AqEh_HIPC10","6","AqEh10_Hu_TL25_6D_Gex;L025;AqEh10","/path/to/user/HIPC/deconvolution/HTO_based/10-28-2023/AqEh_HIPC10/AqEh10_Hu_TL25_6D_CITE/AqEh10_Hu_TL25_6D_CITE_11-18-2023_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEh10_Hu_TL26_6D_Gex","/path/to/user/sequencing_data/11-10-2023/count/AqEh_HIPC10/AqEh10_Hu_TL26_6D_Gex/outs/molecule_info.h5",NA,"AqEh_HIPC10","7","AqEh10_Hu_TL26_6D_Gex;L026;AqEh10","/path/to/user/HIPC/deconvolution/HTO_based/10-28-2023/AqEh_HIPC10/AqEh10_Hu_TL26_6D_CITE/AqEh10_Hu_TL26_6D_CITE_11-18-2023_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEh10_Hu_TL27_6D_Gex","/path/to/user/sequencing_data/11-10-2023/count/AqEh_HIPC10/AqEh10_Hu_TL27_6D_Gex/outs/molecule_info.h5",NA,"AqEh_HIPC10","7","AqEh10_Hu_TL27_6D_Gex;L027;AqEh10","/path/to/user/HIPC/deconvolution/HTO_based/10-28-2023/AqEh_HIPC10/AqEh10_Hu_TL27_6D_CITE/AqEh10_Hu_TL27_6D_CITE_11-18-2023_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEh10_Hu_TL28_6D_Gex","/path/to/user/sequencing_data/10-28-2023/count/AqEh_HIPC10/AqEh10_Hu_TL28_6D_Gex/outs/molecule_info.h5",NA,"AqEh_HIPC10","6","AqEh10_Hu_TL28_6D_Gex;L028;AqEh10","/path/to/user/HIPC/deconvolution/HTO_based/10-28-2023/AqEh_HIPC10/AqEh10_Hu_TL28_6D_CITE/AqEh10_Hu_TL28_6D_CITE_11-18-2023_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEh11_Hu_TL29_6D_Gex","/path/to/user/sequencing_data/11-10-2023/count/AqEh_HIPC11/AqEh11_Hu_TL29_6D_Gex/outs/molecule_info.h5",NA,"AqEh_HIPC11","7","AqEh11_Hu_TL29_6D_Gex;L029;AqEh11",NA
"AqEh11_Hu_TL30_6D_Gex","/path/to/user/sequencing_data/10-28-2023/count/AqEh_HIPC11/AqEh11_Hu_TL30_6D_Gex/outs/molecule_info.h5",NA,"AqEh_HIPC11","6","AqEh11_Hu_TL30_6D_Gex;L030;AqEh11","/path/to/user/HIPC/deconvolution/HTO_based/10-28-2023/AqEh_HIPC11/AqEh11_Hu_TL30_6D_CITE/AqEh11_Hu_TL30_6D_CITE_11-18-2023_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEh11_Hu_TL31_6D_Gex","/path/to/user/sequencing_data/11-10-2023/count/AqEh_HIPC11/AqEh11_Hu_TL31_6D_Gex/outs/molecule_info.h5",NA,"AqEh_HIPC11","7","AqEh11_Hu_TL31_6D_Gex;L031;AqEh11","/path/to/user/HIPC/deconvolution/HTO_based/10-28-2023/AqEh_HIPC11/AqEh11_Hu_TL31_6D_CITE/AqEh11_Hu_TL31_6D_CITE_11-18-2023_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEh11_Hu_TL32_6D_Gex","/path/to/user/sequencing_data/11-10-2023/count/AqEh_HIPC11/AqEh11_Hu_TL32_6D_Gex/outs/molecule_info.h5",NA,"AqEh_HIPC11","7","AqEh11_Hu_TL32_6D_Gex;L032;AqEh11","/path/to/user/HIPC/deconvolution/HTO_based/10-28-2023/AqEh_HIPC11/AqEh11_Hu_TL32_6D_CITE/AqEh11_Hu_TL32_6D_CITE_11-18-2023_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEh11_Hu_TL33_6D_Gex","/path/to/user/sequencing_data/11-17-2023/count/AqEh_HIPC11/AqEh11_Hu_TL33_6D_Gex/outs/molecule_info.h5",NA,"AqEh_HIPC11","8","AqEh11_Hu_TL33_6D_Gex;L033;AqEh11","/path/to/user/HIPC/deconvolution/HTO_based/10-28-2023/AqEh_HIPC11/AqEh11_Hu_TL33_6D_CITE/AqEh11_Hu_TL33_6D_CITE_11-18-2023_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEh11_Hu_TL34_6D_Gex","/path/to/user/sequencing_data/11-17-2023/count/AqEh_HIPC11/AqEh11_Hu_TL34_6D_Gex/outs/molecule_info.h5",NA,"AqEh_HIPC11","8","AqEh11_Hu_TL34_6D_Gex;L034;AqEh11","/path/to/user/HIPC/deconvolution/HTO_based/10-28-2023/AqEh_HIPC11/AqEh11_Hu_TL34_6D_CITE/AqEh11_Hu_TL34_6D_CITE_11-18-2023_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEh12_Hu_TL35_6D_Gex","/path/to/user/sequencing_data/11-17-2023/count/AqEh_HIPC12/AqEh12_Hu_TL35_6D_Gex/outs/molecule_info.h5",NA,"AqEh_HIPC12","8","AqEh12_Hu_TL35_6D_Gex;L035;AqEh12",NA
"AqEh12_Hu_TL36_6D_Gex","/path/to/user/sequencing_data/11-17-2023/count/AqEh_HIPC12/AqEh12_Hu_TL36_6D_Gex/outs/molecule_info.h5",NA,"AqEh_HIPC12","8","AqEh12_Hu_TL36_6D_Gex;L036;AqEh12","/path/to/user/HIPC/deconvolution/HTO_based/11-10-2023/AqEh_HIPC12/AqEh12_Hu_TL36_6D_CITE/AqEh12_Hu_TL36_6D_CITE_11-18-2023_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEh12_Hu_TL37_6D_Gex","/path/to/user/sequencing_data/11-10-2023/count/AqEh_HIPC12/AqEh12_Hu_TL37_6D_Gex/outs/molecule_info.h5",NA,"AqEh_HIPC12","7","AqEh12_Hu_TL37_6D_Gex;L037;AqEh12","/path/to/user/HIPC/deconvolution/HTO_based/11-10-2023/AqEh_HIPC12/AqEh12_Hu_TL37_6D_CITE/AqEh12_Hu_TL37_6D_CITE_11-18-2023_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEh12_Hu_TL38_6D_Gex","/path/to/user/sequencing_data/11-17-2023/count/AqEh_HIPC12/AqEh12_Hu_TL38_6D_Gex/outs/molecule_info.h5",NA,"AqEh_HIPC12","8","AqEh12_Hu_TL38_6D_Gex;L038;AqEh12","/path/to/user/HIPC/deconvolution/HTO_based/11-10-2023/AqEh_HIPC12/AqEh12_Hu_TL38_6D_CITE/AqEh12_Hu_TL38_6D_CITE_11-18-2023_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEh12_Hu_TL39_6D_Gex","/path/to/user/sequencing_data/11-17-2023/count/AqEh_HIPC12/AqEh12_Hu_TL39_6D_Gex/outs/molecule_info.h5",NA,"AqEh_HIPC12","8","AqEh12_Hu_TL39_6D_Gex;L039;AqEh12","/path/to/user/HIPC/deconvolution/HTO_based/11-10-2023/AqEh_HIPC12/AqEh12_Hu_TL39_6D_CITE/AqEh12_Hu_TL39_6D_CITE_11-18-2023_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEh12_Hu_TL40_6D_Gex","/path/to/user/sequencing_data/11-10-2023/count/AqEh_HIPC12/AqEh12_Hu_TL40_6D_Gex/outs/molecule_info.h5",NA,"AqEh_HIPC12","7","AqEh12_Hu_TL40_6D_Gex;L040;AqEh12","/path/to/user/HIPC/deconvolution/HTO_based/11-10-2023/AqEh_HIPC12/AqEh12_Hu_TL40_6D_CITE/AqEh12_Hu_TL40_6D_CITE_11-18-2023_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
